"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name"
"015",2020,"Break and Enter",21,"Kingsway South"
"015",2020,"Robbery",5,"Kingsway South"
"015",2020,"Theft Over",3,"Kingsway South"
"015",2021,"Assault",27,"Kingsway South"
"015",2021,"Auto Theft",37,"Kingsway South"
"015",2021,"Break and Enter",9,"Kingsway South"
"015",2021,"Robbery",12,"Kingsway South"
"015",2021,"Theft Over",5,"Kingsway South"
"015",2022,"Assault",22,"Kingsway South"
"015",2022,"Auto Theft",68,"Kingsway South"
"015",2022,"Break and Enter",13,"Kingsway South"
"015",2022,"Robbery",8,"Kingsway South"
"015",2022,"Theft Over",2,"Kingsway South"
"015",2023,"Assault",66,"Kingsway South"
"015",2023,"Auto Theft",90,"Kingsway South"
"015",2023,"Break and Enter",55,"Kingsway South"
"015",2023,"Robbery",8,"Kingsway South"
"015",2023,"Theft Over",7,"Kingsway South"
"015",2024,"Assault",45,"Kingsway South"
"015",2024,"Auto Theft",31,"Kingsway South"
"015",2024,"Break and Enter",35,"Kingsway South"
"015",2024,"Robbery",7,"Kingsway South"
"015",2024,"Theft Over",7,"Kingsway South"
"015",2025,"Assault",51,"Kingsway South"
"015",2025,"Auto Theft",13,"Kingsway South"
"015",2025,"Break and Enter",27,"Kingsway South"
"015",2025,"Robbery",3,"Kingsway South"
"015",2025,"Theft Over",6,"Kingsway South"
"016",2020,"Assault",107,"Stonegate-Queensway"
"016",2020,"Auto Theft",49,"Stonegate-Queensway"
"016",2020,"Break and Enter",35,"Stonegate-Queensway"
"016",2020,"Robbery",20,"Stonegate-Queensway"
"016",2020,"Theft Over",5,"Stonegate-Queensway"
